route	needs_review	mile	id	lat	lon	corridor	segment_code	section_code	segment_name	section_name	include	notes
main-spine	0	49	ft-main-mi0049000	26.3084781	-80.97096953	Main	southern	seminole	Southern	Seminole	TRUE	
main-spine	0	50	ft-main-mi0050000	26.30642029	-80.95539741	Main	southern	seminole	Southern	Seminole	TRUE	
main-spine	0	51	ft-main-mi0051000	26.3072648	-80.93929664	Main	southern	seminole	Southern	Seminole	TRUE	
main-spine	0	52	ft-main-mi0052000	26.30682997	-80.92315864	Main	southern	seminole	Southern	Seminole	TRUE	
main-spine	0	53	ft-main-mi0053000	26.30508096	-80.90720085	Main	southern	seminole	Southern	Seminole	TRUE	
main-spine	0	54	ft-main-mi0054000	26.30667235	-80.89580564	Main	southern	seminole	Southern	Seminole	TRUE	
main-spine	0	55	ft-main-mi0055000	26.31711094	-80.89097565	Main	southern	seminole	Southern	Seminole	TRUE	
main-spine	0	56	ft-main-mi0056000	26.32293038	-80.88118326	Main	southern	seminole	Southern	Seminole	TRUE	
main-spine	0	57	ft-main-mi0057000	26.33535121	-80.88492948	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	58	ft-main-mi0058000	26.3466719	-80.8948631	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	59	ft-main-mi0059000	26.35795483	-80.90471255	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	60	ft-main-mi0060000	26.36927323	-80.9146471	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	61	ft-main-mi0061000	26.38064911	-80.92463444	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	62	ft-main-mi0062000	26.39202429	-80.93462376	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	63	ft-main-mi0063000	26.40339879	-80.94461504	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	64	ft-main-mi0064000	26.41731186	-80.94651403	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	65	ft-main-mi0065000	26.43167636	-80.94657749	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	66	ft-main-mi0066000	26.4459089	-80.94673812	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
